scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
2,8,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,197.21,2188.97,174.92,0.787234,10,0.212766,174.766,14,60923.1,60899.8,26482,26479
2,3,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,212.66,2029.94,162.212,0.787234,10,0.212766,162.766,24,60837.6,60992.1,26482,26479
2,6,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,221.385,1949.94,119.394,0.902439,0,0,217.122,8,61135.4,61017,26482,26479
2,5,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,245.108,1761.22,128.596,0.804348,7,0.152174,352.957,15,61227.6,60912,26482,26479
2,2,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,246.925,1748.25,139.119,0.698113,22,0.415094,248.717,24,60981,60879.6,26482,26479
2,7,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,250.208,1725.31,121.819,1,11,0.229167,144.167,16,60921.7,60909.3,26482,26479
2,1,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,252.96,1706.54,130.107,1,18,0.352941,194.627,24,61272.4,60913.2,26482,26479
2,8,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,201.604,2141.26,202.615,1,0,0,379.9,15,61338.6,60943.4,26482,26479
2,3,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,196.588,2195.89,247.013,1,24,0.45283,309.547,24,61041.4,60910.9,26482,26479
2,6,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,194.307,2221.67,228.421,1,11,0.244444,319.6,8,61048.1,60896.2,26482,26479
2,5,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.014,2345.95,220.591,1,0,0,1082.1,15,61414.6,60784.5,26482,26479
2,1,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.196,2343.63,220.374,1,0,0,388.667,24,61097.7,60747.6,26482,26479
2,7,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,194.23,2222.56,208.989,1,0,0,388.667,16,61263,61003.6,26482,26479
2,2,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,226.617,1904.92,262.434,1,73,1.37736,624.34,24,61245.5,61110.1,26482,26479
2,8,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,196.615,2195.59,222.078,1,7,0.159091,351,15,61283.9,61428.7,26482,26479
2,3,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,194.482,2219.67,208.718,1,0,0,354.718,24,61001.2,60904,26482,26479
2,6,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,197.814,2182.28,242.57,1,21,0.42,312.24,9,60840.6,60846.3,26482,26479
2,5,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,188.806,2286.4,216.348,1,0,0,1007,15,61057.7,60829.3,26482,26479
2,1,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,198.646,2173.14,298.983,1,91,1.89583,688.833,24,61006.7,60860.7,26482,26479
2,7,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,197.192,2189.17,281.714,1,88,1.91304,666.087,16,60794.5,61134.1,26482,26479
2,2,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,187.722,2299.61,217.598,0.25,0,0,573.9,24,60943,60913.7,26482,26479
2,8,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.608,2377.02,223.513,0.538462,0,0,388.667,16,61266.7,60629.8,26482,26479
2,3,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,190.226,2269.33,253.255,0.411765,22,0.431373,310,24,61456.5,60961.9,26482,26479
2,6,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.705,2337.17,261.172,0.411765,21,0.411765,306.863,9,60833.2,60840.1,26482,26479
2,5,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,185.787,2323.55,218.486,0.538462,0,0,630.513,15,60975.7,61124.3,26482,26479
2,1,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.993,2346.21,220.616,0.538462,0,0,411.231,24,60916.6,60950.6,26482,26479
2,7,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.886,2347.57,220.744,0.538462,0,0,388.667,16,60995.7,60720.9,26482,26479
2,2,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.666,2376.27,223.442,0.538462,0,0,563.026,24,60888.5,60684.9,26482,26479
2,8,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.214,2382.19,224,0,0,0,388.667,16,61688.5,60834.3,26482,26479
2,3,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.183,2369.52,222.808,0,0,0,354.718,24,60942.7,60962,26482,26479
2,6,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.073,2358.01,221.725,0,0,0,354.718,9,60922.1,60791.5,26482,26479
2,5,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.815,2348.49,220.83,0,0,0,563.026,15,60973.5,61063.5,26482,26479
2,1,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.288,2368.16,222.68,0,0,0,388.667,24,60943.9,60875,26482,26479
2,7,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.268,2368.42,222.705,0,0,0,388.667,17,60879.4,60919.5,26482,26479
2,2,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.909,2373.1,223.144,0,0,0,563.026,24,60928.7,60783.4,26482,26479
2,8,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.396,2353.85,221.335,0,0,0,388.667,16,61134.5,60819.3,26482,26479
2,3,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.103,2370.57,222.906,0,0,0,354.718,24,60780.5,61216.8,26482,26479
2,6,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.051,2371.24,222.97,0,0,0,354.718,10,61287,60904.6,26482,26479
2,5,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.431,2366.3,222.506,0,0,0,563.026,15,61070.1,60852.1,26482,26479
2,4,0,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,1186.98,363.686,22.2683,1,0,0,163.659,24,60948.1,61052.4,26482,26479
2,1,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,190.293,2268.54,213.313,0,0,0,388.667,24,60960.9,60968,26482,26479
2,7,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,189.021,2283.8,214.748,0,0,0,388.667,17,60932.5,60820.2,26482,26479
2,2,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.005,2371.84,223.026,0,0,0,563.026,24,61099.8,60893,26482,26479
2,8,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,188.313,2292.39,215.556,0.25641,0,0,388.667,17,60946.9,60857.7,26482,26479
2,3,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,185.152,2331.53,259.16,0.2,21,0.42,325.84,24,60880,60875.8,26482,26479
2,6,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.627,2338.16,221.246,0.25,0,0,346.8,10,61167.1,60845.4,26482,26479
2,5,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.19,2356.5,221.584,0.25641,0,0,563.026,15,60852.2,60872.2,26482,26479
2,4,1,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.499,2365.43,222.423,0.25641,0,0,431.846,24,60965.4,60829.2,26482,26479
2,1,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.477,2340.06,220.038,0.25641,0,0,388.667,24,60862.2,60912.9,26482,26479
2,7,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,185.396,2328.46,218.947,0.25641,0,0,388.667,17,60921.2,60767.1,26482,26479
2,2,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,185.414,2328.24,218.926,0.25641,0,0,563.026,24,60973.6,60791.5,26482,26479
2,8,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.306,2342.23,221.631,0.4,0,0,371.5,17,60883.2,61050.4,26482,26479
2,3,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,186.451,2315.28,217.708,0.410256,0,0,354.718,24,60854.2,60793.6,26482,26479
2,6,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,185.498,2327.18,218.826,0.410256,0,0,354.718,10,60874,60826.1,26482,26479
2,5,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,186.271,2317.52,238.276,0.377778,11,0.244444,500.756,15,61487,60687.5,26482,26479
2,4,2,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.924,2372.89,223.125,0.435897,0,0,422.615,24,61076.2,60766.5,26482,26479
2,1,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.476,2378.75,223.676,0.435897,0,0,388.667,24,60825.2,60653,26482,26479
2,7,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.33,2354.7,221.414,0.794872,0,0,411.231,18,60933.3,60747.9,26482,26479
2,2,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,187.176,2306.31,248.664,0.738095,23,0.547619,607.429,24,60861.7,60832.7,26482,26479
2,8,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.748,2375.19,223.341,0.769231,0,0,388.667,18,61266.1,60674.6,26482,26479
2,3,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.549,2377.8,227.552,0.75,1,0.025,347.2,24,60749.2,60711,26482,26479
2,6,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.17,2356.76,221.608,0.769231,0,0,354.718,10,60903.5,60770.3,26482,26479
2,5,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.396,2353.85,221.335,0.74359,0,0,411.231,15,60884.5,60842.8,26482,26479
2,4,3,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.329,2380.69,235.77,0.690476,3,0.0714286,365.048,24,60977.7,60738.6,26482,26479
2,1,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.75,2336.6,291.94,0.54717,44,0.830189,374.679,24,60994.1,60987.9,26482,26479
2,7,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.065,2345.3,241.132,0.333333,11,0.244444,353.467,18,61149.7,60861.1,26482,26479
2,2,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.043,2371.35,222.98,0.384615,0,0,448.872,24,60895,60800.3,26482,26479
2,8,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.355,2367.28,222.598,0,0,0,388.667,18,60934.9,60702.4,26482,26479
2,3,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.358,2380.3,223.822,0,0,0,368.256,24,60891.9,60775.6,26482,26479
2,6,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.325,2367.67,222.634,0,0,0,357.077,10,61154.4,60701.2,26482,26479
2,5,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.297,2368.04,222.669,0,0,0,388.667,15,61347.3,60731.7,26482,26479
2,4,4,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.553,2377.74,223.581,0,0,0,388.667,24,60755.9,61092.8,26482,26479
2,1,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.238,2381.87,223.97,0,0,0,388.667,24,60916.9,60789.8,26482,26479
2,7,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.69,2362.95,222.19,0,0,0,388.667,19,61411.4,61435.6,26482,26479
2,2,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.434,2353.36,221.289,0,0,0,431.846,24,61034.3,60978.6,26482,26479
2,8,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.898,2360.25,221.937,0,0,0,388.974,18,61092.3,60693.4,26482,26479
2,3,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.815,2374.31,223.259,0,0,0,354.718,24,60883,60915,26482,26479
2,6,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.464,2378.91,223.691,0,0,0,354.718,10,60919.1,60775.1,26482,26479
2,5,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.441,2379.21,223.719,0,0,0,388.667,16,60882.5,61051.7,26482,26479
2,4,5,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.154,2356.96,221.627,0,0,0,388.667,24,61184.6,60780,26482,26479
2,1,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.045,2371.31,222.977,0,0,0,388.667,24,60914,61149.2,26482,26479
2,7,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.834,2374.06,223.235,0,0,0,388.667,19,61179,60992.8,26482,26479
2,2,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.096,2370.65,222.914,0.025641,0,0,431.846,24,60791.2,61218.1,26482,26479
2,8,11,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.768,2374.93,223.317,0.025641,0,0,388.667,19,61092.6,60793.2,26482,26479
2,3,11,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.943,2372.64,223.102,0.025641,0,0,354.718,24,60937.5,60805.4,26482,26479
2,6,11,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.769,2374.91,223.315,0.025641,0,0,354.718,10,61285.2,60768.3,26482,26479
2,5,11,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.756,2375.08,223.331,0.025641,0,0,388.667,16,60697.7,60892,26482,26479
2,4,6,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.485,2378.63,223.665,0.025641,0,0,388.667,24,60870.6,61095.3,26482,26479
2,1,11,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.449,2379.1,223.709,0.025641,0,0,388.667,24,60957.6,60750,26482,26479
2,7,11,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.448,2366.09,226.432,0.025,1,0.025,380.4,19,60902.9,60864.2,26482,26479
2,2,11,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.905,2373.15,223.149,0,0,0,431.846,24,60943.9,61116.6,26482,26479
2,8,12,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.857,2360.79,221.987,0,0,0,417.897,19,61333.7,60832.6,26482,26479
2,3,12,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.995,2371.97,223.038,0,0,0,354.718,24,60993.3,60906.4,26482,26479
2,6,12,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.528,2378.07,223.612,0,0,0,354.718,10,60940.6,60759.8,26482,26479
2,5,12,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.539,2377.93,223.599,0,0,0,388.667,16,60898.1,60993.9,26482,26479
2,4,7,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.284,2381.27,223.913,0,0,0,354.718,24,61092.9,60679.7,26482,26479
2,1,12,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.851,2373.85,223.215,0,0,0,388.667,24,60936.6,61175.6,26482,26479
2,7,12,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.901,2373.2,223.154,0,0,0,456.359,19,60985.3,60902,26482,26479
2,2,12,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.169,2369.71,222.826,0,0,0,431.846,24,61120.8,61033.1,26482,26479
2,8,13,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.415,2353.6,221.311,0,0,0,388.667,18,60964.7,61220.6,26482,26479
2,3,13,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.546,2364.81,222.365,0,0,0,354.718,24,60898.7,60824.6,26482,26479
2,6,13,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.626,2363.77,222.268,0,0,0,354.718,10,60849.2,60800.6,26482,26479
2,5,13,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.806,2361.45,250.844,0.0243902,0,0,669.61,16,60852.2,61202.9,26482,26479
2,4,8,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.491,2365.52,222.432,0.025641,0,0,354.718,24,60948.9,61167.6,26482,26479
2,1,13,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.177,2382.68,224.045,0.025641,0,0,388.667,24,60998.2,60735.6,26482,26479
2,7,13,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.711,2349.81,220.955,0.025641,0,0,388.667,19,60850.6,61173.3,26482,26479
2,2,13,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.98,2372.16,223.057,0.025641,0,0,434.41,24,60996.8,60841.4,26482,26479
2,8,14,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.161,2369.8,222.835,0.025641,0,0,388.667,18,61199.9,60903.3,26482,26479
2,3,14,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.302,2367.97,226.612,0.025,1,0.025,349.2,24,61254.3,61232.2,26482,26479
2,6,14,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.276,2355.4,222.877,0.025,0,0,612.8,10,60891.9,60895.6,26482,26479
2,5,14,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,183.258,2355.63,221.502,0,0,0,388.667,16,60775.8,60731.7,26482,26479
2,4,9,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.391,2379.88,223.782,0,0,0,355.026,24,60986.2,60922.2,26482,26479
2,1,14,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.105,2370.54,222.904,0,0,0,381.487,24,61240.8,61177.5,26482,26479
2,7,14,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.857,2373.78,223.208,0,0,0,388.667,18,61098.9,60925.3,26482,26479
2,2,14,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.402,2366.68,222.541,0,0,0,431.846,24,60912.2,61061.4,26482,26479
2,8,15,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.637,2376.64,223.478,0.025641,0,0,388.667,17,60942.3,60756.6,26482,26479
2,3,15,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.269,2368.41,222.704,0.025641,0,0,354.718,24,60780,61059.6,26482,26479
2,6,15,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,182.209,2369.18,222.776,0.025641,0,0,354.718,9,61062.6,61271.8,26482,26479
2,5,15,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.399,2379.76,223.771,0.025641,0,0,388.667,16,61061.8,60794.2,26482,26479
2,4,10,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.407,2379.65,223.761,0.307692,0,0,354.718,24,60930.3,60679.7,26482,26479
2,1,15,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.304,2381.02,223.889,0.307692,0,0,354.718,24,60927,60840,26482,26479
2,7,15,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.882,2373.45,223.178,0.307692,0,0,388.667,18,61023.1,61012.1,26482,26479
2,2,15,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,181.406,2379.68,227.732,0.3,1,0.025,422.5,24,60919.9,60640.1,26482,26479
2,8,16,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.312,2342.15,220.235,0.282051,0,0,388.667,17,60843.8,60784.5,26482,26479
2,3,16,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,SLH-DSA-SHAKE-128f_signed-by_ML-DSA-65,184.097,2344.89,220.492,0.282051,0,0,354.718,24,61690.2,61228.1,26482,26479
