scenario,node_id,handshake_index,sta_cert_algo,ap_cert_algo,handshake_delay_ms,goodput_kbps,throughput_kbps,phy_frame_drop_rate,mac_retries,mac_retry_rate,tx_delay_us,prop_delay_ns,cert_verify_ap_us,cert_verify_sta_us,server_cert_msg_bytes,client_cert_msg_bytes
1,8,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,26.77,1298.46,560.626,0.666667,10,0.555556,213.778,14,314.837,400.948,1674,1671
1,3,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,40.95,848.829,366.491,1,10,0.555556,206.667,24,307.302,296.354,1674,1671
1,6,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,52.728,659.22,131.692,1,0,0,186.333,8,303.819,315.949,1674,1671
1,7,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,62.052,560.173,151.485,1,1,0.0625,176.625,16,323.093,314.531,1674,1671
1,5,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,66.435,523.216,129.329,1,4,0.25,227.25,15,305.255,291.914,1674,1671
1,2,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,72.244,481.144,103.427,1,1,0.0769231,187.231,24,296.225,298.878,1674,1671
1,8,1,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,48.344,719.005,702.622,1,41,1.57692,843.077,14,284.211,276.252,1674,1671
1,1,0,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,78.634,442.043,156.063,1,6,0.285714,176.476,24,300.896,300.122,1674,1671
1,3,1,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,40.969,848.434,515.113,1,17,1.0625,246.25,24,293.442,265.207,1674,1671
1,6,1,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,29.745,1168.59,518,1,0,0,660.571,8,278.293,294.682,1674,1671
1,5,1,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,19.229,1807.68,675.643,1,0,0,1601.6,15,288.81,262.601,1674,1671
1,7,1,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,29.186,1190.97,397.446,1,0,0,126.8,16,287.504,266.032,1674,1671
1,2,1,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,19.573,1775.9,1078.21,1,17,1.0625,379.5,24,294.459,266.949,1674,1671
1,1,1,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.697,2081.8,1134.57,1,11,0.846154,160.769,24,275.25,264.094,1674,1671
1,8,2,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,21.014,1654.11,844.378,1,7,0.5,197.143,14,285.999,267.607,1674,1671
1,3,2,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.19,2147,802.47,1,0,0,216,24,291.248,261.906,1674,1671
1,6,2,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.686,2083.18,664.507,1,0,0,136,8,284.554,274.239,1674,1671
1,2,2,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.963,3488.6,2118.05,0.875,17,1.0625,379.5,24,295.902,290.501,1674,1671
1,5,2,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,18.217,1908.07,1548.42,0.916667,31,1.29167,569,15,280.4,263.086,1674,1671
1,8,3,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,8.877,3915.34,1463.41,0.6,0,0,234.4,14,283.529,268.896,1674,1671
1,7,2,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.827,2196.19,1121.1,1,7,0.5,197.143,16,289.297,263.091,1674,1671
1,1,2,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.505,2779.66,1038.93,0.6,0,0,137.6,24,285.074,266.803,1674,1671
1,3,3,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.089,2875.32,1274.54,0.357143,0,0,173.714,24,290.913,266.31,1674,1671
1,6,3,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.112,2650.96,990.831,0.5,0,0,216,8,289.624,257.557,1674,1671
1,2,3,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.415,2799.82,1046.47,1,0,0,330.4,24,308.126,271.55,1674,1671
1,5,3,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.772,2353.06,879.488,1,0,0,256.8,15,272.69,265.53,1674,1671
1,8,4,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.168,2453.39,916.987,1,0,0,234.4,14,287.306,274.447,1674,1671
1,7,3,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.702,2736.56,1042.98,1,0,0,216.545,16,282.476,266.601,1674,1671
1,3,4,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.183,3413.25,1063.64,1,0,0,150,24,288.798,261.246,1674,1671
1,1,3,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.321,2129.73,1044.03,1,11,1,171.091,24,291.288,274.764,1674,1671
1,6,4,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.434,2115.11,1909.2,0.96,34,1.36,243.6,8,271.963,267.612,1674,1671
1,2,4,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.312,2269.97,1378.18,1,17,1.0625,379.5,24,308.062,279.275,1674,1671
1,5,4,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.392,3051.09,1140.38,0,0,0,472.4,15,289.465,266.606,1674,1671
1,8,5,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.884,2503.46,935.7,0,0,0,234.4,14,287.358,273.617,1674,1671
1,7,4,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.857,2508.34,1093.39,0,0,0,199.231,16,299.158,263.887,1674,1671
1,3,5,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.878,2189.06,970.342,0.357143,0,0,173.714,24,286.874,268.689,1674,1671
1,1,4,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.387,2415.92,1053.11,0.384615,0,0,199.231,24,281.571,266.459,1674,1671
1,6,5,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.665,2744.36,855.205,0.714286,0,0,150,8,286.898,266.63,1674,1671
1,2,5,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.377,2808.21,1049.61,0.5,0,0,330.4,24,282.719,269.352,1674,1671
1,5,5,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.449,2791.97,1217.03,0.384615,0,0,394.308,15,283.029,267.278,1674,1671
1,7,5,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.463,2403.35,1160.46,1,11,1.1,184.4,16,272.55,261.62,1674,1671
1,8,6,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.594,2229.03,833.128,1,0,0,234.4,14,283.102,265.5,1674,1671
1,3,6,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.033,2477,925.81,1,0,0,128.4,24,291.295,257.395,1674,1671
1,1,5,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.569,2385.87,909.322,1,0,0,128.545,24,293.582,270.699,1674,1671
1,5,6,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.828,2709.51,1012.72,1,0,0,256.8,15,279.965,268.891,1674,1671
1,6,6,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.004,2316.71,1406.56,1,17,1.0625,245.5,8,275.466,269.952,1674,1671
1,2,6,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.502,2106.4,1901.33,0.64,34,1.36,466.16,24,293.575,267.966,1674,1671
1,7,6,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.287,3079.44,1150.98,0,0,0,232,16,278.402,283.651,1674,1671
1,8,7,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.242,3091.77,1155.59,0,0,0,234.4,14,292.409,260.494,1674,1671
1,3,7,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.946,2325.7,869.261,1,0,0,128.4,24,287.173,261.763,1674,1671
1,5,7,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.616,2755.03,858.529,1,0,0,309.429,15,284.389,268.917,1674,1671
1,6,7,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.951,2491.57,1104.43,1,1,0.0714286,173.714,8,303.285,269.55,1674,1671
1,1,6,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,19.62,1771.62,813.846,1,9,0.692308,189.385,24,282.884,263.372,1674,1671
1,8,8,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.344,2604.72,992.732,1,0,0,214.364,14,291.833,262.501,1674,1671
1,7,7,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.278,2135.38,1222.74,1,7,0.411765,176.118,16,290.739,259.124,1674,1671
1,2,7,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,18.559,1872.91,1369.01,1,22,1.22222,269.111,24,291.966,297.572,1674,1671
1,3,8,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.988,2484.98,774.376,1,0,0,150,24,301.834,265.424,1674,1671
1,8,9,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.777,3225.39,1846.9,1,7,0.411765,163.882,14,282.634,260.207,1674,1671
1,6,8,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.676,2217.35,1056.37,1,7,0.538462,140.462,8,282.127,281.512,1674,1671
1,7,8,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.479,3028.11,1484.43,1,11,1,158.727,16,281.192,268.153,1674,1671
1,2,8,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.759,2956,1427.32,1,11,1.1,273.6,24,269.67,262.527,1674,1671
1,1,7,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.8,2068.99,1339.01,1,14,0.777778,409.111,24,278.614,269.675,1674,1671
1,3,9,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.073,2658.86,1779.51,1,21,1.10526,219.053,24,298.72,269.218,1674,1671
1,6,9,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,8.308,4183.53,1563.65,0.4,0,0,216,8,291.403,265.579,1674,1671
1,7,9,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,8.88,3914.04,1475.53,0.363636,0,0,199.455,16,284.447,258.638,1674,1671
1,2,9,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.086,3825.28,1667.45,0.307692,0,0,277.692,24,277.945,257.024,1674,1671
1,1,8,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.097,3820.67,1665.44,0.538462,4,0.307692,199.231,24,284.426,273.952,1674,1671
1,5,8,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,31.318,1109.88,824.043,1,26,0.962963,268.667,15,287.951,262.95,1674,1671
1,3,10,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.667,2979.33,1151.96,0.5,3,0.25,186.333,24,290.555,277.052,1674,1671
1,6,10,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.519,2571.15,979.938,1,0,0,199.818,8,291.281,270.02,1674,1671
1,8,10,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,25.038,1388.28,966.202,1,20,1,125,14,311.413,260.736,1674,1671
1,7,10,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.008,2481.4,1081.65,1,0,0,184.154,16,295.747,270.215,1674,1671
1,2,10,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.697,2537.75,790.821,1,0,0,220.857,24,277.179,254.964,1674,1671
1,1,9,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.235,2441.83,962.12,1,3,0.230769,189.077,24,291.277,267.684,1674,1671
1,5,9,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,18.02,1928.9,1378.86,1,15,0.681818,300.545,15,300.189,271.764,1674,1671
1,3,11,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.327,2267.83,1608.62,1,14,0.666667,175.333,24,289.59,257.87,1674,1671
1,6,11,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.095,2466.09,939.895,1,0,0,199.818,8,309.167,273.267,1674,1671
1,7,11,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.83,2709.24,1313.16,1,2,0.2,135.6,16,285.567,273.735,1674,1671
1,2,11,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,17.616,1973.16,874.639,1,0,0,260.571,24,295.624,266.919,1674,1671
1,8,11,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,21.624,1607.42,822.761,1,12,1,150,14,290.311,258.891,1674,1671
1,5,10,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.274,2135.9,957.591,1,7,0.636364,262,15,291.868,268.137,1674,1671
1,6,12,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.383,2416.72,1656.39,1,18,0.818182,194.182,8,288.961,271.682,1674,1671
1,7,12,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.668,2369.78,1586.03,0.842105,17,0.894737,219.053,16,285.171,258.073,1674,1671
1,3,12,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,19.03,1826.55,1232.55,1,24,1.2,260,24,275.36,265.221,1674,1671
1,2,12,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.934,3178.83,1188.13,0.4,0,0,185.2,24,272.831,270.618,1674,1671
1,1,10,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,27.922,1244.89,946.63,1,27,1.17391,354,24,277.962,265.041,1674,1671
1,8,12,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.618,3273.44,1223.49,0.1,0,0,216,14,283.978,259.699,1674,1671
1,5,11,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.671,2978.32,1113.18,0.3,0,0,256.8,15,308.278,265.049,1674,1671
1,6,13,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.465,3031.83,1133.19,0.9,4,0.4,137.6,8,295.41,271.131,1674,1671
1,7,13,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.81,3215.25,1201.74,0.9,0,0,128.4,16,290.87,263.629,1674,1671
1,3,13,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.782,3223.59,1004.54,1,0,0,150,24,290.88,266.164,1674,1671
1,2,13,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.932,2494.92,777.474,1,0,0,220.857,24,303.07,265.62,1674,1671
1,5,12,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.291,3078.55,1364.62,1,0,0,368.857,15,279.142,276.438,1674,1671
1,6,14,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.748,3565.56,2164.77,1,10,0.625,260.75,8,281.171,272.131,1674,1671
1,8,13,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,18.135,1916.67,1251.02,1,15,0.789474,158.211,15,280.031,261.355,1674,1671
1,7,14,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.795,2946.76,1605.97,1,11,0.846154,149.385,16,285.291,274.797,1674,1671
1,5,13,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,7.351,4728.26,1508.25,1,0,0,275.5,15,288.669,270.805,1674,1671
1,6,15,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,8.146,4266.82,1594.78,1,0,0,234.4,8,319.955,260.178,1674,1671
1,7,15,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,6.536,5317.88,1987.63,1,0,0,128.4,16,309.358,262.477,1674,1671
1,5,14,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.257,3754.63,1636.65,1,0,0,394.308,15,286.894,266.698,1674,1671
1,2,14,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,19.732,1761.54,1268.96,1,16,0.695652,222.522,24,288.721,271.707,1674,1671
1,1,11,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,34.52,1006.95,1219,1,45,1.21622,174.108,24,280.818,258.521,1674,1671
1,8,14,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.603,2093.53,1698.92,1,25,1.04167,191.333,15,314.179,267.323,1674,1671
1,6,16,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.166,2640.09,1189.71,1,0,0,177.733,8,290.385,269.603,1674,1671
1,7,16,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.908,2692.86,839.157,1,0,0,150,16,287.391,269.701,1674,1671
1,3,14,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,34.11,1019.03,1406.71,1,70,1.79487,253.897,24,289.437,265.308,1674,1671
1,2,15,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.928,2913.95,908.053,1,0,0,220.857,24,286.318,266.89,1674,1671
1,1,12,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.841,2706.77,1011.69,0.8,0,0,234.4,24,277.019,267.153,1674,1671
1,8,15,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.639,2750.03,856.972,0,0,0,150,15,274.738,265.53,1674,1671
1,6,17,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.583,3284.28,1023.46,0,0,0,161.429,8,268.246,294.864,1674,1671
1,5,15,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,17.258,2014.11,1233.96,0.470588,24,1.41176,737.529,15,287.972,267.428,1674,1671
1,7,17,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.719,2533.71,947.008,0.8,0,0,216,16,291.156,266.471,1674,1671
1,3,15,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.623,3271.88,1019.59,1,0,0,150,24,281.432,261.44,1674,1671
1,2,16,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.589,2761.13,1052.34,0.727273,0,0,303.818,24,273.597,268.458,1674,1671
1,6,18,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.128,3431.79,1282.68,1,0,0,232,8,284.57,279.459,1674,1671
1,1,13,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.954,2907.58,1086.75,1,0,0,234.4,24,291.716,273.66,1674,1671
1,5,16,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.733,2962.58,1129.12,1,0,0,432.909,15,283.246,267.32,1674,1671
1,8,16,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,15.334,2266.82,1376.27,1,17,1.0625,245.5,15,282.974,258.94,1674,1671
1,7,18,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.063,2660.94,1014.16,1,0,0,199.818,16,286.534,258.191,1674,1671
1,3,16,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.07,2470.48,1288.4,1,9,0.5625,167.25,24,319.716,267.582,1674,1671
1,1,14,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.259,3087.06,1345.66,0.615385,0,0,199.231,24,286.212,276.723,1674,1671
1,2,17,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.874,2505.39,1676.8,1,17,0.894737,367.263,24,300.586,266.609,1674,1671
1,5,17,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.427,3041.69,1136.87,0.8,0,0,264.4,15,288.91,269.386,1674,1671
1,6,19,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.24,2140.36,1432.49,0.842105,17,0.894737,219.053,8,282.916,260.966,1674,1671
1,7,19,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.656,3261.77,1219.13,0,0,0,216,16,271.539,260.325,1674,1671
1,8,17,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.534,2568.16,1559.22,0.5,17,1.0625,245.5,15,296.24,272.871,1674,1671
1,3,17,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.376,2598.66,1132.77,0.230769,0,0,184.154,24,297.621,266.104,1674,1671
1,2,18,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.256,3087.87,984.99,0.375,0,0,198,24,284.203,267.023,1674,1671
1,1,15,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.619,2552.28,1302.87,0.214286,7,0.5,171.429,24,290.177,264.675,1674,1671
1,5,18,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.65,2747.81,1197.78,0.230769,0,0,394.308,15,292.489,264.55,1674,1671
1,6,20,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.528,2774.58,864.621,0.428571,0,0,150,8,300.424,261.285,1674,1671
1,7,20,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.869,2928.64,1094.62,0.3,0,0,216,16,300.77,277.571,1674,1671
1,8,18,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.602,2380.48,907.269,1,0,0,199.818,15,291.862,264.386,1674,1671
1,3,18,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.502,2396.9,746.929,1,0,0,150,24,289.317,261.72,1674,1671
1,2,19,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.361,2420.44,922.496,1,0,0,303.818,24,281.082,258.821,1674,1671
1,1,16,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.332,2425.34,755.791,1,0,0,161.429,24,295.876,267.849,1674,1671
1,5,19,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.902,2500.18,779.113,1,0,0,309.429,15,286.257,275.474,1674,1671
1,7,21,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.769,2953.3,1287.35,1,0,0,184.154,16,283.181,260.959,1674,1671
1,6,21,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.56,2387.34,1467.02,1,17,1,233.294,8,285.631,276.845,1674,1671
1,8,19,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,13.503,2574.19,1562.88,1,17,1.0625,248.5,15,311.476,258.088,1674,1671
1,3,19,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.192,3105.52,1353.71,1,0,0,185.077,24,286.187,272.593,1674,1671
1,2,20,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.863,2930.1,1277.24,1,0,0,277.692,24,290.338,263.71,1674,1671
1,5,20,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,11.912,2918.06,1771.65,1,17,1.0625,267,15,278.875,283.202,1674,1671
1,6,22,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.727,3573.25,1335.55,0.4,0,0,218.4,8,271.982,263.246,1674,1671
1,1,17,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.277,2434.65,1478.16,1,17,1.0625,267,24,289.548,261.885,1674,1671
1,8,20,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.8,3546.65,1363.15,1,0,0,220,15,284.658,276.198,1674,1671
1,2,21,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.937,3497.7,1785.48,1,11,0.785714,170.571,24,271.412,268.014,1674,1671
1,5,21,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,8.971,3874.32,1688.83,1,0,0,199.231,15,286.442,276.185,1674,1671
1,3,20,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,14.737,2358.63,1204.01,1,7,0.5,119.714,24,299.297,264.892,1674,1671
1,6,23,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,10.868,3198.36,1656.23,1,7,0.466667,186.533,8,275.675,257.487,1674,1671
1,8,21,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,9.185,3784.07,1442.21,1,0,0,236.909,15,272.44,263.954,1674,1671
1,1,18,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.231,2841.93,1725.43,1,17,1.0625,267,24,290.339,261.635,1674,1671
1,7,22,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,31.544,1101.92,779.589,1,20,0.952381,119.524,16,292.061,284.16,1674,1671
1,3,21,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,12.192,2851.04,909.447,1,0,0,136,24,282.472,265.128,1674,1671
1,2,22,ED25519_signed-by_RSA-SHA3-384,ED25519_signed-by_RSA-SHA3-384,16.131,2154.81,833.161,1,3,0.25,281.667,24,277.2,262.592,1674,1671
